image,title,description,category,subcategory,size,price,stock
img/products/rugged-boots.jpg,Rugged Leather Boots,"Handcrafted from premium full-grain leather, these boots are built to last. With a durable rubber sole and waterproof construction, they're perfect for outdoor adventures.",Men,Footwear,8-12,129.99,25
img/products/denim-jacket.jpg,Classic Denim Jacket,"This timeless denim jacket is a wardrobe staple. Made from high-quality cotton denim, it features a classic button-front design and adjustable waist tabs for a perfect fit.",Men,Outerwear,S/M/L/XL,89.99,50
img/products/pocket-knife.jpg,Stainless Steel Pocket Knife,"Crafted from durable stainless steel, this pocket knife is a must-have for any outdoorsman. With a sleek design and multiple blades, it's perfect for camping, hiking, or everyday carry.",Men,Accessories,One Size,39.99,75
img/products/leather-briefcase.jpg,Leather Briefcase,"This handsome leather briefcase is the perfect blend of style and functionality. With plenty of compartments and a padded laptop sleeve, it's ideal for the modern professional.",Men,Bags,16" x 12" x 4",199.99,20
img/products/flannel-shirt.jpg,Heavyweight Flannel Shirt,"Stay warm and comfortable with this heavyweight flannel shirt. Made from soft, brushed cotton, it features a classic plaid pattern and is perfect for layering.",Men,Tops,S/M/L/XL,59.99,40
img/products/chino-pants.jpg,Stretch Chino Pants,"These versatile chino pants are a must-have for any modern man's wardrobe. Made from a stretchy cotton-blend fabric, they offer a comfortable and stylish fit.",Men,Bottoms,28-38,69.99,30
img/products/leather-belt.jpg,Genuine Leather Belt,"Crafted from premium full-grain leather, this belt is both durable and stylish. With a classic buckle design, it's the perfect finishing touch for any outfit.",Men,Accessories,32-44,39.99,60
img/products/henley-shirt.jpg,Henley Long Sleeve Shirt,"This classic henley shirt is a timeless wardrobe staple. Made from soft, lightweight cotton, it features a three-button placket and a relaxed fit.",Men,Tops,S/M/L/XL,44.99,45
img/products/wool-sweater.jpg,Merino Wool Sweater,"Stay warm and stylish with this merino wool sweater. Made from premium wool, it's soft, breathable, and perfect for layering.",Men,Tops,S/M/L/XL,89.99,35
img/products/aviator-sunglasses.jpg,Aviator Sunglasses,"These classic aviator sunglasses are a timeless accessory. With polarized lenses and a durable metal frame, they offer both style and protection from the sun.",Men,Accessories,One Size,49.99,65
img/products/oxford-shoes.jpg,Leather Oxford Shoes,"These handsome leather oxford shoes are perfect for any formal or professional occasion. With a sleek design and premium leather construction, they'll elevate any outfit.",Men,Footwear,8-12,119.99,25
img/products/canvas-backpack.jpg,Canvas Backpack,"This rugged canvas backpack is perfect for everyday use or outdoor adventures. With multiple compartments and a padded laptop sleeve, it's both stylish and functional.",Men,Bags,One Size,59.99,40
img/products/cotton-polo.jpg,Cotton Pique Polo Shirt,"This classic cotton pique polo shirt is a wardrobe essential. Made from soft, breathable cotton, it features a ribbed collar and cuffs for a polished look.",Men,Tops,S/M/L/XL,39.99,50
img/products/suede-boots.jpg,Suede Chelsea Boots,"These suede chelsea boots are a stylish and versatile addition to any shoe collection. With a sleek design and premium construction, they're perfect for dressing up or down.",Men,Footwear,8-12,129.99,30
img/products/wool-blazer.jpg,Wool Blazer,"This classic wool blazer is a must-have for any modern man's wardrobe. With a tailored fit and premium construction, it's perfect for both casual and formal occasions.",Men,Outerwear,36-46,199.99,25
img/products/leather-wallet.jpg,Bifold Leather Wallet,"Crafted from premium full-grain leather, this bifold wallet is both durable and stylish. With multiple card slots and a cash compartment, it's perfect for everyday carry.",Men,Accessories,One Size,49.99,60
img/products/canvas-tote.jpg,Canvas Tote Bag,"This versatile canvas tote bag is perfect for everyday use or travel. With a spacious main compartment and sturdy handles, it's both functional and stylish.",Men,Bags,One Size,29.99,50
img/products/trucker-jacket.jpg,Trucker Denim Jacket,"This classic trucker jacket is a wardrobe staple for any modern man. Made from premium denim, it features a button-front design and adjustable waist tabs.",Men,Outerwear,S/M/L/XL,99.99,40
img/products/chino-shorts.jpg,Stretch Chino Shorts,"These versatile chino shorts are perfect for warm weather. Made from a stretchy cotton-blend fabric, they offer a comfortable and stylish fit.",Men,Bottoms,28-38,49.99,45
img/products/leather-messenger.jpg,Leather Messenger Bag,"This handsome leather messenger bag is perfect for the modern professional. With plenty of compartments and a padded laptop sleeve, it's both stylish and functional.",Men,Bags,15" x 11" x 4",149.99,30
img/products/cotton-cardigan.jpg,Cotton Cardigan Sweater,"This lightweight cotton cardigan is perfect for layering. With a classic button-front design and ribbed trim, it's both comfortable and stylish.",Men,Tops,S/M/L/XL,69.99,40
img/products/leather-gloves.jpg,Leather Driving Gloves,"These premium leather driving gloves are a stylish and functional accessory. With a flexible construction and perforated detailing, they're perfect for any occasion.",Men,Accessories,S/M/L/XL,59.99,50
img/products/flannel-shirt-2.jpg,Plaid Flannel Shirt,"This classic plaid flannel shirt is a wardrobe staple for any outdoorsman. Made from soft, brushed cotton, it's perfect for layering and outdoor adventures.",Men,Tops,S/M/L/XL,49.99,45
img/products/slippers.jpg,Suede Slippers,"These luxurious suede slippers are perfect for lounging at home. With a soft, cushioned footbed and durable construction, they offer both comfort and style.",Men,Footwear,8-12,69.99,35
img/products/chino-jacket.jpg,Cotton Chino Jacket,"This versatile cotton chino jacket is perfect for transitional weather. With a classic button-front design and multiple pockets, it's both stylish and functional.",Men,Outerwear,S/M/L/XL,89.99,40
img/products/swim-trunks.jpg,Quick-Dry Swim Trunks,"These quick-dry swim trunks are perfect for any beach or pool day. With a comfortable elastic waistband and mesh lining, they offer both style and functionality.",Men,Bottoms,S/M/L/XL,39.99,50
img/products/wool-socks.jpg,Merino Wool Socks,"These premium merino wool socks are perfect for any occasion. With a soft, breathable construction and reinforced heels and toes.",Men,Accessories,S/M/XL,19.99,75